name,game_id,ngram,matched_token,matched_category,line
slalom2,2,"['THEN', '33', 'm']",THEN,command-int-var,114
robot-8k,3,"['THEN', '7', 'l']",THEN,command-int-var,510
3d-labyrint-16k,4,"['STEP', '5', 'll']",STEP,command-int-var,60
spukhaus3,5,"['TO', '24', 'ad']",TO,command-int-var,41530
skipping-ball,15,"['THEN', '890', 'a$']",THEN,command-int-var,870
roulette,19,"['NEXT', '0', 'ls']",NEXT,command-int-var,8010
roulette,19,"['THEN', '1', 'i']",THEN,command-int-var,7095
nager2,23,"['POKE', '657', 'w']",POKE,command-int-var,7
seeschlacht-16k,24,"['IF', '1', 's']",IF,command-int-var,1720
seeschlacht-16k,24,"['GOTO', '5', 'c']",GOTO,command-int-var,3060
star-wars2,25,"['TO', '1', 'r']",TO,command-int-var,120
star-wars2,25,"['STEP', '22', 't']",STEP,command-int-var,560
blue-munster2,26,"['THEN', '20', 'k2']",THEN,command-int-var,22120
monsterjagd,28,"['IF', '4000', 'a']",IF,command-int-var,3030
diamanten3,36,"['TO', '7176', 'b']",TO,command-int-var,750
diamanten3,36,"['TO', '1', 'f']",TO,command-int-var,470
mister-jump,42,"['TO', '0', 'i']",TO,command-int-var,102
mister-jump2,42,"['TO', '100', 't']",TO,command-int-var,2020
ghosts-egg3,44,"['THEN', '0', 'i']",THEN,command-int-var,111
ghosts-egg3,44,"['THEN', '16', 'j']",THEN,command-int-var,111
fox-hunt2,46,"['TO', '5', 'bi']",TO,command-int-var,1103
fox-hunt2,46,"['IF', '1', 'j']",IF,command-int-var,106
fox-hunt2,46,"['GOTO', '1099', 'j']",GOTO,command-int-var,109
collector2,47,"['RND', '1', 't']",RND,command-int-var,605
collector2,47,"['GOSUB', '4000', 'xx']",GOSUB,command-int-var,91
collector2,47,"['TO', '220', 'uy']",TO,command-int-var,98
breakout,48,"['NEXT', '245', 'q']",NEXT,command-int-var,20070
dog-fight2,51,"['THEN', '245', 'k1']",THEN,command-int-var,38
dog-fight2,51,"['IF', '0', 'r1']",IF,command-int-var,31
schwitzbad2,52,"['TO', '0', 'i']",TO,command-int-var,22
schwitzbad2,52,"['TO', '8072', 'e']",TO,command-int-var,68
earth-rescue2,53,"['THEN', '25', 'z']",THEN,command-int-var,339
pac-ball2,56,"['FOR', '32', 'i']",FOR,command-int-var,540
economy,57,"['GOSUB', '4100', 'c']",GOSUB,command-int-var,820
